book_key,subject,q_index,question,answer
physics_common_science,physics,20,What is conduction as a method of heat transfer?,"Conduction is a method of heat transfer where the molecules near a heat source move more quickly, jostling their neighbors and making them move faster, and so on, down the line through a material."
physics_common_science,physics,21,Provide two examples of good conductors of heat and two examples of poor conductors (insulators) from the text.,Good conductors of heat include iron and silver. Poor conductors (insulators) of heat include glass and wood.
physics_common_science,physics,22,How does a blanket keep a person warm or prevent ice from melting?,"A blanket keeps a person warm by holding heat in, preventing it from escaping. It keeps ice from melting by shutting heat out, preventing it from reaching the ice. This is largely due to trapped air, a poor conductor of heat."
physics_common_science,physics,23,"What is convection, and how does it contribute to heating a room with a stove?","Convection is a method of heat transfer where air currents carry heat from one place to another. In a room with a stove, the air next to the stove becomes hot, rises, and is pushed up and away by cold air, carrying its heat with it to other parts of the room."
physics_common_science,physics,24,Explain the primary difference in how heat reaches the Earth from the Sun compared to how heat travels along a metal rod.,"Heat reaches the Earth from the Sun by radiation, traveling through empty space with lightning-like quickness. Heat travels along a metal rod by conduction, which involves molecules jostling their neighbors."
physics_common_science,physics,25,What is the proposed medium through which radiant heat and light waves travel through space?,"The proposed medium is an invisible, rigid stuff called ""ether,"" which is supposed to fill all space. The fast-moving particles of a source joggle the ether, creating ripples (ether waves) that spread swiftly."
physics_common_science,physics,26,How are light and radiant heat related in terms of ether waves?,Radiant heat and light are closely related; light is only the special kind of ether waves that affect our eyes. The only difference is that the ripples in light are shorter than those of radiant heat.
physics_common_science,physics,27,"What makes an object ""incandescent,"" and how does this relate to an electric lamp?","An object becomes incandescent when it gets hot enough to glow, meaning its molecules move fast enough to make ether ripples short enough to be light. In an electric lamp, the fine wires (filament) get so hot that they glow or become incandescent, throwing off light and radiant heat."
physics_common_science,physics,28,How does a thermos bottle minimize heat transfer through both conduction and radiation?,"A thermos bottle has two layers of glass with a vacuum between them to prevent conducted heat transfer. To prevent radiant heat transfer, the glass is silvered, making a mirror that reflects practically all radiant heat back to where it came from."
physics_common_science,physics,29,Why should telegraph wires and wire fences not be strung too tightly when put up in the summer?,"Telegraph wires and wire fences should not be strung too tightly in summer because materials expand when heated. As the weather becomes colder, the wires will contract. If strung too tightly, the contraction could cause them to snap or become overly stressed."
physics_common_science,physics,30,Why is it advised not to fill a teakettle brim full of cold water before putting it on the stove?,"Water expands when it is heated. If a teakettle is filled brim full of cold water, the expanding water will overflow as it heats up on the stove."
biology_civic_biology,biology,1,"What is osmosis, and how does it relate to a plant's absorption of soil water?","Osmosis is the process by which two gases or fluids, separated by a membrane, tend to pass through the membrane and mingle with each other, with the greater flow always being in the direction of the denser medium. Root hairs absorb soil water through this process because the fluid inside the root hair (cell sap) is denser than the soil water."
biology_civic_biology,biology,2,Describe the primary function of a root for a young seed plant.,"The primary function of a root for a young seed plant is to act as a holdfast or an anchor, fastening the plant in the place where it is to develop."
biology_civic_biology,biology,3,"What are root hairs, and how are they structurally adapted for water and mineral absorption?","Root hairs are tiny, fuzzy outgrowths of the outer layer (epidermis) of the root. They are living plant cells with a flexible, thin wall made of cellulose, through which fluids can easily pass, allowing water and mineral substances from the soil to enter the root's interior."
biology_civic_biology,biology,4,"Besides anchoring, what other functions do roots perform for a plant?","Other functions of roots include taking in water with dissolved mineral and organic matter, storing food, and sometimes climbing."
biology_civic_biology,biology,5,What determines the direction of growth for plant roots?,The direction of growth for plant roots is influenced by both the force of gravity (causing downward growth) and the presence of water (roots grow towards moisture).
biology_civic_biology,biology,6,How does the fine structure of a root protect its actively growing tip?,"Over the lower end of the root, a collection of mostly dead, loosely arranged cells forms a root cap, which evidently protects the young and actively growing cells located just underneath it."
biology_civic_biology,biology,7,Explain the structure and function of stomata in a leaf.,"Stomata are tiny oval openings found on the surface of a leaf, usually the underside. They are bordered by two kidney-shaped guard cells, which change shape to make the opening larger or smaller. Stomata allow for the passage of gases and water vapor between the leaf's interior and the outside air."
biology_civic_biology,biology,8,"What is transpiration, and what environmental factors affect its rate?","Transpiration is the process by which water is given off from leaves as vapor through evaporation. The amount of water lost varies greatly depending on the humidity of the air, the air temperature, and the temperature of the plant itself."
biology_civic_biology,biology,9,"Describe the overall process of starch making in green leaves, including the raw materials, energy source, and by-product.","The process of starch making, called photosynthesis, occurs in the chloroplasts of green cells within the leaf. The sun provides the necessary energy, and the raw materials are soil water (transported from roots via veins) and carbon dioxide (taken in through stomata). Starch is the manufactured product, and oxygen is released as a by-product."
biology_civic_biology,biology,10,"What is humus, and why is its presence important in soil?","Humus is the portion of soil that consists of dead plant and animal matter, giving dark soil its richness. Soil containing organic materials like humus holds water much more readily than inorganic soil."
biology_civic_biology,biology,11,How do soil particles relate to the absorption of water by root hairs?,"Soil particles are surrounded by a delicate film of water. Root hairs absorb this water, often appearing to have soil particles cemented to their sticky surface, as they absorb dissolved mineral substances."
biology_civic_biology,biology,12,"Why is nitrogen necessary for plants, and how do they primarily obtain it?","Nitrogen is a chemical element needed by plants to make protoplasm. Plants typically obtain nitrogen from the organic matter in the soil, where it exists as nitrates, which are formed from ammonia and other organic compounds by soil bacteria."
biology_civic_biology,biology,13,"What specialized role do certain bacteria play in the nitrogen cycle for plants, particularly legumes?","Millions of nitrogen-fixing bacteria live in little swellings or nodules on the roots of legumes (like clover, peas, and beans). These bacteria take free nitrogen from the atmosphere and convert it into a usable form, specifically nitrates, for the plant."
biology_civic_biology,biology,14,"Explain the concept of ""rotation of crops"" and its benefit to agricultural land.","Rotation of crops involves planting different crops in a given field in different years. For example, legumes (which host nitrogen-fixing bacteria) might be planted, plowed in, and then followed by a second crop like corn. This practice helps to replenish elements like nitrogen in the soil, preventing exhaustion of raw food materials."
biology_civic_biology,biology,15,What evidence supports the idea that green plants give off oxygen?,"When a green water plant is placed in a sunny environment under a bell jar with a test tube inverted over it, bubbles of gas are seen to rise from the plant. This gas can be collected and tested, proving it to be oxygen, which is released as a by-product of starch-making."
biology_civic_biology,biology,16,How is water transported from the root hairs to the central cylinder of the root?,"After root hairs absorb water by osmosis, their cell sap becomes less dense. They then pass their water supply to adjacent cells closer to the root's center. This transfer continues from cell to cell, with each cell becoming less dense than its inner neighbors, until the water reaches the central cylinder."
biology_civic_biology,biology,17,What gives mechanical support to the tubelike structures found within the central cylinder of a root?,"Other cells within the root body develop greatly thickened walls, and these provide mechanical support to the tubelike cells within the central cylinder."
biology_civic_biology,biology,18,Identify the three distinct regions visible in a cross-section of a young woody stem.,"A cross-section of a young woody stem reveals three distinct regions: the spongy pith in the center, the tough wood surrounding the pith, and the outermost bark."
biology_civic_biology,biology,19,What is the function of sieve tubes in a woody stem?,"Sieve tubes are long rows of living cells with perforated, sievelike ends located in the inner bark. Their function is to transport manufactured food materials downward from the upper parts of the plant."
biology_civic_biology,biology,20,"What is the cambium layer, and what is its role in stem growth?","The cambium layer is an actively dividing layer of cells in a woody stem. This layer forms new wood cells from its inner surface and new bark cells from its outer surface, contributing to the stem's growth in girth."
biology_civic_biology,biology,21,How do plants make fats?,"Fats are believed to be manufactured inside the chlorophyll bodies in the leaf, probably through a transformation of the starch that has already been produced."
biology_civic_biology,biology,22,"Where in the plant are proteins manufactured, and what raw materials are used?","Proteins can apparently be manufactured in any of the cells of green plants. They use mineral elements brought up in soil water (such as calcium, sulphur, iron, potassium, magnesium, phosphorus, sodium, and chlorine), carbon, hydrogen, and oxygen from starch or grape sugar, and nitrogen taken up by the roots as nitrates."
biology_civic_biology,biology,23,How do plants demonstrate their ability to exert energy?,Plants exert energy by processes such as their roots boring through hard soil or the stems and roots of trees splitting open hard rocks as they grow.
biology_civic_biology,biology,24,What is the primary cause of inorganic soil formation?,"Inorganic soil is formed by the process of weathering, where ice and frost, alternating with heat, chip off pieces of rock. These pieces are then ground into fragments by the action of ice, glaciers, running water, or the atmosphere, aided by oxidation."
biology_civic_biology,biology,25,What is the physiological importance of osmosis for both plants and animals?,"Osmosis is crucial for plants, enabling root hairs to absorb water. For animals, it's vital for nutrient absorption, as digested foods are changed into a soluble form and pass through the walls of the food tube into the blood, largely through osmosis."
biology_civic_biology,biology,26,"What is a ""fibrovascular bundle"" in a root?",A fibrovascular bundle in a root is a collection of tubelike structures (cells grown together to form hollow tubes) and supporting woody cells (with greatly thickened walls that provide mechanical support).
biology_civic_biology,biology,27,How does light influence the arrangement of leaves on a plant?,"Green leaves typically turn towards the light, arranging themselves to maximize sunlight reception. Examples include leaf mosaics where leaves fit in between one another, or rosettes/whorled clusters where leaves are disposed to get much sunlight, often with older leaves having longer petioles."
biology_civic_biology,biology,28,"What is the significance of the ""central cylinder"" in a root?","The central cylinder in a root contains tubelike structures (fibrovascular bundles) that are continuous with those in the stem. Water, after being absorbed by root hairs and transferred through surrounding cells, eventually reaches this central cylinder to be passed up the stem."
biology_civic_biology,biology,29,"What elements are found in protoplasm, and how do plants acquire them for protein synthesis?","Protoplasm contains carbon, hydrogen, oxygen, nitrogen, and minute proportions of calcium, sulphur, iron, potassium, magnesium, phosphorus, sodium, and chlorine. Plants obtain carbon, hydrogen, and oxygen from starch/grape sugar, nitrogen as nitrates from soil, and the other mineral elements from soil water."
biology_civic_biology,biology,30,How does a plant's respiration differ in light versus darkness concerning oxygen exchange?,"A plant takes in oxygen for respiration (releasing energy from food oxidation) in both light and darkness. However, in the light, the amount of oxygen given off as a by-product of starch-making is much greater than the amount of oxygen used by the plant for respiration."
economics_principles_fetter,economics,1,What fundamental relationship between wants and goods is presented as uniting the thoughts of preceding chapters?,"As wants differ in kind and degree, so goods differ in their power to gratify wants."
economics_principles_fetter,economics,2,"What is meant by ""immediately enjoyable goods,"" and why are they considered the starting point for explaining value?","Immediately enjoyable goods are things that are gratifying wants at this moment or are ready for use and will be used up in a very short time. They are considered nearest to the source of explanation because their power to gratify wants, which alone causes value, is direct and ripe."
economics_principles_fetter,economics,3,State the law of diminishing utility.,"As the amount of any good increases, after a certain point the gratification that the added portions afford decreases."
economics_principles_fetter,economics,4,"Explain the concept of ""negative gratification"" in relation to consuming a good.","After the sum of pleasurable sensations from a good reaches satisfaction or fullness, continued consumption can lead to ""negative gratification,"" where each added portion reduces the welfare of the user and can make the total gratification a negative quantity."
economics_principles_fetter,economics,5,Define marginal utility.,Marginal utility is the gratification afforded by the added portion of the good.
economics_principles_fetter,economics,6,How does the text explain the relationship between marginal utility and the total measure of importance (value) of a supply?,"The product of the marginal utility by the number of units gives the total measure of importance of the supply, as the marginal unit of a homogeneous supply is considered to have the same utility as any other unit at that moment."
economics_principles_fetter,economics,7,What is a critical misunderstanding to avoid when interpreting a diagram showing a utility curve with multiple marginal utility points?,"It is critical to understand that the diagram represents only one marginal utility at any given moment for a given number of units, and this marginal utility is the same for every unit of like goods. The other perpendicular lines on the curve are conditional, representing what marginal utility would be if the number of units were different."
economics_principles_fetter,economics,8,"Why does utility not remain unchanging in goods as something ""intrinsic""?","Utility does not rest unchanging in goods as something ""intrinsic"" because it depends on the relation of goods to men; if wants change, the utility changes, as the man enjoying the good has been changed by what he has enjoyed."
economics_principles_fetter,economics,9,"What is the ""problem of economy"" in relation to shifting choice?","The problem of ""economy"" arises from the necessity for man to constantly shift his choice of goods because waste results when goods continue to be used to secure a lower degree of gratification if they might be used to secure a higher."
economics_principles_fetter,economics,10,"What is the distinction between ""desire"" and ""demand"" for goods?","Demand is desire for goods united with the power to give something in exchange, meaning it must be for something attainable. Desire alone, such as yearning for something beyond reach, does not constitute effective demand."
economics_principles_fetter,economics,11,What is the law of individual demand for a trader?,The law of individual demand is that the trader will reduce his stock of a particular good to the point where its marginal utility equals that of the alternative goods.
economics_principles_fetter,economics,12,What is expressed graphically by a demand curve?,"A demand curve expresses graphically what a man would be willing to pay at each particular stage in the increase of goods, showing the decline of the marginal utility of each added portion of a good."
economics_principles_fetter,economics,13,Define elasticity of demand.,Elasticity of demand expresses the degree to which a change in a good's ratio to other goods will increase the demand.
economics_principles_fetter,economics,14,What is the primary advantage of exchange in the usual economic sense?,The advantage of exchange consists in the raising of the want-gratifying power of goods to both parties involved in a voluntary exchange.
economics_principles_fetter,economics,15,"How does the text explain the relationship between ""demand"" and ""supply"" in the context of barter?","In barter, demand is supply and supply is demand when the point of view is shifted from one party to another, meaning one party's demand for a good is expressed as the supply of another good they offer."
economics_principles_fetter,economics,16,How is the price or ratio of exchange determined in isolated exchange between only two traders?,"In isolated exchange, the estimates of the two traders give, respectively, the upper and lower figures of the ratio at which the trade can take place, with much depending on the ""higgling of the market."""
economics_principles_fetter,economics,17,How does one-sided competition influence the definiteness of price compared to isolated exchange?,"One-sided competition fixes price with greater definiteness than in isolated exchange, as bidders are impelled by self-interest to outbid competitors, narrowly fixing the limits within which the market price must fall."
economics_principles_fetter,economics,18,"What is the ""margin of advantage"" in an exchange?","The ""margin of advantage"" is the difference between the market value and the ratio of exchange at which any given individual would continue to exchange for the good."
economics_principles_fetter,economics,19,"Who are the ""marginal pair"" in two-sided competition?","The ""marginal pair"" are the least eager buyer and the least eager seller, who have the narrowest possible motive to exchange and whose outside estimates are nearest to the market ratio."
economics_principles_fetter,economics,20,"Define a ""market"" and ""price.""",A market is a body of buyers and sellers in such close business relations that the actual price conforms closely to the valuation of the marginal pair. Price is value expressed in terms of some commonly exchanged commodity.
economics_principles_fetter,economics,21,How have markets generally widened over time?,"Markets have widened steadily through the improvement of means of communication and transportation, enabling goods to be gathered from distant points and information to be widely diffused."
economics_principles_fetter,economics,22,"What is the difference between ""normal price"" and ""market price""?","Normal price is the price which, apart from exceptional conditions, is expected to prevail and to which actual prices constantly strive to adjust themselves. Market price is the actual price resulting from existing circumstances, which may be exceptional and thus deviate from the normal price."
economics_principles_fetter,economics,23,How do economic wants persist despite being satisfied?,"Economic wants persist and appear in regularly recurring series because satisfaction and gratification are only temporary conditions, impressions are short-lived, and wants recur for the same reasons they first arose."
economics_principles_fetter,economics,24,"What is ""objective income,"" and how does ""social"" objective income sometimes differ from ""individual"" objective income?","Objective income consists of the additional sums of goods acquired by individuals or by society during the income period. Society, as a whole, acquires income only when goods are produced, whereas individuals may acquire income by gift, bequest, theft, or other transfers from other individuals."
economics_principles_fetter,economics,25,"Explain the distinction between ""gross income"" and ""net income.""","Gross income refers to total receipts or the total of goods secured, while net income is the remainder after deducting expenditures and replacing the goods employed to secure the income, representing a net addition."
economics_principles_fetter,economics,26,"What is the fundamental difference between ""funded income"" and ""unfunded income""?","Funded income arises from the possession of wealth or claims on wealth, corresponding to an abiding fund of wealth, while unfunded income arises from current labor and has no permanent fund of accumulated wealth corresponding to it."
economics_principles_fetter,economics,27,"What is ""psychic income,"" and what is the ultimate aim of all economic activity in this context?",Psychic income consists of the pleasurable psychic impressions which consumption goods aid to produce. The attainment of pleasurable conditions in mind or soul is the aim of all economic activity.
economics_principles_fetter,economics,28,"How does modern economic thought mentioned in the text define ""productive labor""?","Modern economic thought defines productive labor as all labor that contributes to value, regardless of whether its results are embodied in an abiding material form."
economics_principles_fetter,economics,29,Why do things that cannot directly satisfy wants still have value to man?,"Things that cannot directly satisfy wants still have value to man if they are in some causal relation to gratifications and this relation is known and felt, often by being connected in thought by chains of association with future pleasures or uses."
economics_principles_fetter,economics,30,"What is the ""technical rank of goods,"" also known as the ""degree of roundaboutness of the process""?",The technical rank of goods signifies the number of steps or processes that intervene between the agent used and the desired form of gratification.
